bench,alloc_type,total,bit_pos,p_one,entropy
perlbench,32bits,10686177,43,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,44,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,45,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,46,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,47,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,48,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,49,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,50,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,51,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,52,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,53,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,54,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,55,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,56,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,57,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,58,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,59,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,60,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,61,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,62,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,63,0.03009242688007133,0.1948551624937183
perlbench,64bits,6894,0,0.21830577313606034,0.7570618059886538
perlbench,64bits,6894,1,0.23426167682042356,0.7853667051160327
perlbench,64bits,6894,2,0.2399187699448796,0.7949051705481069
perlbench,64bits,6894,3,0.23933855526544823,0.7939385886018757
perlbench,64bits,6894,4,0.26182187409341456,0.8294831796755091
perlbench,64bits,6894,5,0.3838120104438642,0.9606898917413015
perlbench,64bits,6894,6,0.4004931824775167,0.9712383567575169
perlbench,64bits,6894,7,0.3765593269509719,0.9555756938212328
perlbench,64bits,6894,8,0.4299390774586597,0.9857902536112281
perlbench,64bits,6894,9,0.4464751958224543,0.991717771447446
perlbench,64bits,6894,10,0.38758340586016826,0.9632223146492016
perlbench,64bits,6894,11,0.46707281694226865,0.9968693967572504
perlbench,64bits,6894,12,0.35784740353930955,0.9408818527116769
perlbench,64bits,6894,13,0.27560197272991005,0.8493887563988503
perlbench,64bits,6894,14,0.27342616768204236,0.8463381237313627
perlbench,64bits,6894,15,0.31230055120394545,0.8958112252481957
perlbench,64bits,6894,16,0.26602843051929215,0.8357077765850542
perlbench,64bits,6894,17,0.17725558456628954,0.6740363318875736
perlbench,64bits,6894,18,0.06222802436901654,0.3362265756928574
perlbench,64bits,6894,19,0.22352770525094284,0.7665568747472453
perlbench,64bits,6894,20,0.10414853495793444,0.4820098586134812
perlbench,64bits,6894,21,0.10414853495793444,0.4820098586134812
perlbench,64bits,6894,22,0.16289527125036263,0.6411911893196205
perlbench,64bits,6894,23,0.2670438062082971,0.8371906268094376
perlbench,64bits,6894,24,0.0,0.0
perlbench,64bits,6894,25,0.0,0.0
perlbench,64bits,6894,26,0.2670438062082971,0.8371906268094376
perlbench,64bits,6894,27,0.0,0.0
perlbench,64bits,6894,28,0.0,0.0
perlbench,64bits,6894,29,0.0,0.0
perlbench,64bits,6894,30,0.0,0.0
perlbench,64bits,6894,31,0.0,0.0
perlbench,64bits,6894,32,0.0,0.0
perlbench,64bits,6894,33,0.0,0.0
perlbench,64bits,6894,34,0.0,0.0
perlbench,64bits,6894,35,0.0,0.0
perlbench,64bits,6894,36,0.0,0.0
perlbench,64bits,6894,37,0.0,0.0
perlbench,64bits,6894,38,0.0,0.0
perlbench,64bits,6894,39,0.0,0.0
perlbench,64bits,6894,40,0.0,0.0
perlbench,64bits,6894,41,0.0,0.0
perlbench,64bits,6894,42,0.0,0.0
perlbench,64bits,6894,43,0.0,0.0
