bench,addr,generation,alloc_type,alloc_size,offset,writes,pct_of_buffer,pct_of_bench
mcf,0x5c5c060,2,64bits,31984640,540088,1138,0.009117637067408983,0.00020040242003426586
mcf,0x5c5c060,2,64bits,31984640,540096,1136,0.009101613100682429,0.0002000502189445747
mcf,0x4a4c360,1,32bits,1245088,1245040,71851,0.6547729596109582,0.012653000247699504
mcf,0x4a4c360,1,32bits,1245088,1245048,71851,0.6547729596109582,0.012653000247699504
mcf,0x4a4c360,1,32bits,1245088,1245000,14607,0.13311253317333463,0.0025723006585593334
mcf,0x4a4c360,1,32bits,1245088,1245072,11244,0.10246575771896861,0.0019800745262436603
mcf,0x4a4c360,1,32bits,1245088,816384,5556,0.050631425639148846,0.0009784146271620221
nab,0x4cf28c0,1,32bits,4224,192,16,1.4814814814814814,0.4455583402951824
nab,0x4cf28c0,1,32bits,4224,16,16,1.4814814814814814,0.4455583402951824
nab,0x4cf28c0,1,32bits,4224,720,16,1.4814814814814814,0.4455583402951824
nab,0x4cf28c0,1,32bits,4224,544,16,1.4814814814814814,0.4455583402951824
nab,0x4cf28c0,1,32bits,4224,368,16,1.4814814814814814,0.4455583402951824
nab,0x4d00a60,1,32bits,4960,20,3,0.3194888178913738,0.0835421888053467
nab,0x4d00a60,1,32bits,4960,8,3,0.3194888178913738,0.0835421888053467
nab,0x4d00a60,1,32bits,4960,24,3,0.3194888178913738,0.0835421888053467
nab,0x4d00a60,1,32bits,4960,12,3,0.3194888178913738,0.0835421888053467
nab,0x4d00a60,1,32bits,4960,4,3,0.3194888178913738,0.0835421888053467
nab,0x4b99060,1,object,4096,9,11,1.7571884984025559,0.3063213589529379
nab,0x4b99060,1,object,4096,2,11,1.7571884984025559,0.3063213589529379
nab,0x4b99060,1,object,4096,10,11,1.7571884984025559,0.3063213589529379
nab,0x4b99060,1,object,4096,5,11,1.7571884984025559,0.3063213589529379
nab,0x4b99060,1,object,4096,0,11,1.7571884984025559,0.3063213589529379
nab,0x4d0d5e0,1,32bits,5952,392,1,0.3194888178913738,0.0278473962684489
nab,0x4d06100,1,32bits,5952,2360,1,0.3194888178913738,0.0278473962684489
nab,0x4d01e20,1,32bits,5952,528,1,0.3194888178913738,0.0278473962684489
nab,0x4d06100,1,32bits,5952,2404,1,0.3194888178913738,0.0278473962684489
nab,0x4d01e20,1,32bits,5952,816,1,0.3194888178913738,0.0278473962684489
nab,0x4d0d5e0,1,32bits,5952,532,1,0.3194888178913738,0.0278473962684489
nab,0x4d06100,1,32bits,5952,2264,1,0.3194888178913738,0.0278473962684489
nab,0x4d0d5e0,1,32bits,5952,340,1,0.3194888178913738,0.0278473962684489
nab,0x4d01e20,1,32bits,5952,536,1,0.3194888178913738,0.0278473962684489
nab,0x4d06100,1,32bits,5952,2352,1,0.3194888178913738,0.0278473962684489
nab,0x4d01e20,1,32bits,5952,576,1,0.3194888178913738,0.0278473962684489
nab,0x4d0d5e0,1,32bits,5952,384,1,0.3194888178913738,0.0278473962684489
nab,0x4d01e20,1,32bits,5952,864,1,0.3194888178913738,0.0278473962684489
nab,0x4d0d5e0,1,32bits,5952,624,1,0.3194888178913738,0.0278473962684489
nab,0x4d06100,1,32bits,5952,2544,1,0.3194888178913738,0.0278473962684489
nab,0x4bb6ba0,1,64bits,1280000,48,1,14.285714285714286,0.0278473962684489
nab,0x4bb6ba0,1,64bits,1280000,24,1,14.285714285714286,0.0278473962684489
nab,0x4bb6ba0,1,64bits,1280000,0,1,14.285714285714286,0.0278473962684489
nab,0x4bb6ba0,1,64bits,1280000,40,1,14.285714285714286,0.0278473962684489
nab,0x4bb6ba0,1,64bits,1280000,8,1,14.285714285714286,0.0278473962684489
namd,0x5cc8340,4,64bits,7647,0,7884933,2.881766567373828,0.6594246864206167
namd,0x5cc8340,4,64bits,7647,8,4425697,1.617493218005359,0.3701253842509079
namd,0x5cc8340,4,64bits,7647,24,4240486,1.5498027420419138,0.35463600652294897
namd,0x5cc8340,4,64bits,7647,16,3749092,1.3702092311511942,0.31354024396428515
namd,0x5cc8340,4,64bits,7647,48,3605505,1.3177313957517678,0.30153192221328523
namd,0xf765040,1,64bits,22711,13256,145012,0.08553930228981974,0.012127495899740236
namd,0xf765040,1,64bits,22711,13264,145012,0.08553930228981974,0.012127495899740236
namd,0xf765040,1,64bits,22711,13248,145012,0.08553930228981974,0.012127495899740236
namd,0xf765040,1,64bits,22711,13272,144812,0.08542132680877014,0.012110769703425806
namd,0xf765040,1,64bits,22711,13288,144812,0.08542132680877014,0.012110769703425806
namd,0x5cca180,1,64bits,22711,13264,144412,0.08602489812362107,0.012077317310796948
namd,0x5cca180,1,64bits,22711,13256,144412,0.08602489812362107,0.012077317310796948
namd,0x5cca180,1,64bits,22711,13248,144412,0.08602489812362107,0.012077317310796948
namd,0x5cca180,1,64bits,22711,13288,144097,0.08583725552529864,0.01205097355160172
namd,0x5cca180,1,64bits,22711,13272,144097,0.08583725552529864,0.01205097355160172
namd,0x5a55880,1,32bits,89864,34976,12906,0.12056385320804383,0.001079341448170134
namd,0x5a55880,1,32bits,89864,53696,12858,0.12011545208035236,0.001075327161054671
namd,0x5a55880,1,32bits,89864,53792,12666,0.11832184756958648,0.0010592700125928187
namd,0x5a55880,1,32bits,89864,57440,12498,0.11675244362266635,0.001045220007688698
namd,0x5a55880,1,32bits,89864,35072,12330,0.1151830396757462,0.0010311700027845771
namd,0x54eb160,1,64bits,16848,6368,2619,0.13277445376924318,0.00021902954073745398
namd,0x54eb160,1,64bits,16848,6376,2619,0.13277445376924318,0.00021902954073745398
namd,0x54eb160,1,64bits,16848,6360,2619,0.13277445376924318,0.00021902954073745398
namd,0x54eb160,1,64bits,16848,6328,2455,0.12446020771420083,0.00020531405975962182
namd,0x54eb160,1,64bits,16848,6320,2455,0.12446020771420083,0.00020531405975962182
namd,0x54e6f20,1,64bits,16848,6368,2615,0.1326523676038062,0.0002186950168111654
namd,0x54e6f20,1,64bits,16848,6360,2615,0.1326523676038062,0.0002186950168111654
namd,0x54e6f20,1,64bits,16848,6376,2615,0.1326523676038062,0.0002186950168111654
namd,0x54e6f20,1,64bits,16848,6320,2439,0.1237243306255003,0.00020397596405446745
namd,0x54e6f20,1,64bits,16848,6312,2439,0.1237243306255003,0.00020397596405446745
namd,0x54951c0,1,64bits,16512,2256,2675,0.1357757745563812,0.00022371287570549425
namd,0x54951c0,1,64bits,16512,2264,2675,0.1357757745563812,0.00022371287570549425
namd,0x54951c0,1,64bits,16512,2272,2675,0.1357757745563812,0.00022371287570549425
namd,0x54951c0,1,64bits,16512,2232,2551,0.12948186949283308,0.00021334263399054796
