bench,addr,generation,alloc_type,alloc_size,total,pct_fp8_e4m3,pct_fp8_e5m2,pct_bf16,pct_fp16,pct_fp32,site
wrf,0x68b1540,1,32bits,667968,8232432,0.2270771261760801,0.2270765188221415,0.2270883014885516,0.2271930093075776,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x69546e0,1,32bits,667968,8231652,0.2341415793573392,0.2341400000874672,0.2341672121221839,0.2342964692870884,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x9710540,1,32bits,667968,8213694,0.984662442988502,0.984662442988502,0.9846625647364023,0.9846649996944128,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x966d3a0,1,32bits,667968,8213694,0.9935198462470114,0.9935198462470114,0.9935198462470114,0.9935202114907128,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x95ca200,1,32bits,667968,8213694,0.9739435143310672,0.9739433925831666,0.9739459492890776,0.9739577588354278,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x9856880,1,32bits,667968,8213694,0.9841968790169198,0.9841968790169198,0.9841968790169198,0.984201140193438,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x97b36e0,1,32bits,667968,8213694,0.9935175330369016,0.9935175330369016,0.9935175330369016,0.9935180200285036,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x9527060,1,32bits,667968,8213694,0.973943270835266,0.973943270835266,0.973943270835266,0.9739464362806796,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x9456880,1,32bits,667968,7947852,1.0,1.0,1.0,1.0,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x93b36e0,1,32bits,667968,7947852,1.0,1.0,1.0,1.0,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0xa5ca200,1,32bits,667968,7740012,0.0679882666848578,0.0679880082873256,0.067998860983678,0.0680809022001516,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x6d55880,1,32bits,667968,7305312,0.0365840637607264,0.0365837899873407,0.0365976155433197,0.0367193078132734,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0xb710540,1,32bits,667968,7275552,0.0650867453081223,0.0650863329682751,0.0651014520960059,0.065203849824728,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb527060,1,32bits,667968,7275552,0.0240844955819159,0.0240831211157586,0.0241262793530992,0.0244242636160115,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb66d3a0,1,32bits,667968,7275552,0.0649407770022123,0.0649405021089808,0.0649527348577812,0.0650504594015684,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xd1a5180,26,32bits,667968,7109850,0.6630222859835299,0.6629947185946258,0.6631456359838815,0.663321448413117,1.0,solve_em_
wrf,0xce0b7e0,1,32bits,667968,7109850,0.8470094305787041,0.8470076021294402,0.847028558971005,0.8471025408412273,1.0,solve_em_
wrf,0xd1a5180,32,32bits,667968,7109850,0.6548453202247586,0.6548138146374396,0.6549726084235251,0.6551613606475524,1.0,solve_em_
wrf,0xce32fc0,17,32bits,667968,7109850,0.6678041027588486,0.6677745662707371,0.6679109967158238,0.6680748538998713,1.0,solve_em_
wrf,0xd1a5180,9,32bits,667968,7109850,0.6884768314380754,0.6884530615976427,0.6885855538443145,0.6887510988276827,1.0,solve_em_
wrf,0xd1a5180,13,32bits,667968,7109850,0.6726538534568239,0.6726250202184294,0.672769749010176,0.6729407793413363,1.0,solve_em_
wrf,0xd127060,9,32bits,667968,7109850,0.7034889624956926,0.7034664585047504,0.7035806662587818,0.7037383348453202,1.0,solve_em_
wrf,0xcd68640,74,32bits,667968,7109850,0.6978519940645724,0.6978308965730641,0.6979418693783975,0.6980968656160116,1.0,solve_em_
wrf,0xcd68640,72,32bits,667968,7109850,0.70707525475221,0.7070552824602488,0.7071625983670542,0.7073143596559702,1.0,solve_em_
wrf,0xcd68640,66,32bits,667968,7109850,0.7443768855883035,0.7443600075950969,0.7444536804573936,0.7445954556003291,1.0,solve_em_
wrf,0xd1a5180,17,32bits,667968,7109850,0.6650345647235877,0.6650079818842873,0.6651504602769397,0.6653296483048166,1.0,solve_em_
wrf,0xce32fc0,13,32bits,667968,7109850,0.6771061274147837,0.6770815136746907,0.6772089425234006,0.6773730810073348,1.0,solve_em_
wrf,0xcd68640,70,32bits,667968,7109850,0.7148657144665499,0.714847992573683,0.7149515109320168,0.7151004592220651,1.0,solve_em_
wrf,0xce32fc0,29,32bits,667968,7109850,0.658962144067737,0.6589321856297953,0.6590890103166733,0.6592680576946067,1.0,solve_em_
wrf,0xd1a5180,28,32bits,667968,7109850,0.6601732807302545,0.6601461352911805,0.6602873478343425,0.6604699114608606,1.0,solve_em_
